,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_2036.LAB,6/3/2020,12:39:12.000,764.785475,712.713318,29.331057,42.379105,42.076687,0.369992,47.539907,46.332909,1.227032,0.092912,0.559060,0.271697,0.095336,0.281763,0.111805,-3.214915,-0.011097,3.208533,0.562901,0.733427,0.744925,3.164033,3.770026,0.340705,1.639710,1.969280,0.415512,7.342024,7.046958,0.170941,7.509517,7.273090,0.136166,149.461429,172.213089,12.794216,0.015617,0.016997,0.000834,-1.798006,0.783533,1.472805,20.685471,19.171528,0.890599,1.790250,2.404571,0.729214,2.303623,2.449861,0.178492,5.470032,5.493324,1.348031,-0.737012,-0.390225,0.441501,2.371539,1.274898,0.632892,4.600890,4.008858,1.502154,1.790217,-0.917100,1.988008,0.027712,0.016651,0.006737,-0.925513,-0.199332,0.414601,0.085052,-0.064004,0.118897,-0.224424,0.036626,0.629536,190.740738,190.659332,0.045502,0.964339,0.966936,0.006320,42.379105,42.076687,0.369992,149.461429,172.213089,12.794216,2.303623,2.449861,0.178492,0.095336,0.281763,0.111805,811.765470,758.798889,29.839252,154.344954,178.999237,13.864794,7.754884,7.557714,0.115161,789.774190,740.559082,27.803181,43.763807,43.725185,0.357113,838.289217,788.448730,28.160845,32.954199,37.657471,2.730995,30.420214,34.962620,2.665816,31.894238,35.743069,2.176419,0.092912,0.559060,0.271697,7.509517,7.273090,0.136166,30.180172,36.516594,3.592297,31.654196,37.297043,3.161126,3.503505,3.509330,0.003400,5.299525,5.347188,0.027285,90.226265,89.349899,0.515682,6.160718,6.246577,0.047997,-3.821978,-3.848772,0.014990,0.000000,0.000000,0.000000,563.317200,563.323792,0.005266,0.002104,0.001919,0.000277,NaN,NaN,NaN,1.352472,1.354352,0.001190
1,TESTANMA_2036.LAB,6/3/2020,12:39:12.200,750.089027,723.865540,31.138077,41.760407,42.081562,0.364502,44.828449,45.949905,1.358660,0.212851,0.480250,0.308948,0.132519,0.237850,0.120092,-2.528445,-1.344841,2.312331,-0.195832,0.317957,0.474862,3.493747,3.694232,0.354041,1.575550,1.962685,0.422867,7.202664,7.102937,0.165858,7.494067,7.323823,0.165119,156.597351,168.375824,14.249974,0.015971,0.016800,0.000954,-1.335248,0.184552,1.628218,19.976081,19.377756,0.942866,2.011026,2.430671,0.707789,2.484238,2.468693,0.175551,2.311810,5.151440,1.913067,-0.475260,-0.526678,0.290320,1.857328,1.405394,0.680327,3.260591,3.911775,1.538632,-0.663582,-0.352184,1.384463,0.021537,0.018583,0.006402,0.085492,-0.189439,0.422143,-0.084969,-0.087288,0.106258,0.216295,-0.118275,0.383120,190.740738,190.679687,0.055728,0.969562,0.965603,0.004226,41.760407,42.081562,0.364502,156.597351,168.375824,14.249974,2.484238,2.468693,0.175551,0.132519,0.237850,0.120092,795.110024,769.858826,31.256374,162.301227,174.886353,15.396642,7.765415,7.604376,0.145469,777.189083,751.536743,29.571625,43.270076,43.695709,0.393132,823.831779,799.292053,29.502174,33.222929,36.339375,3.006806,30.490267,33.623810,2.938122,31.440788,34.677166,2.771320,0.212851,0.480250,0.308948,7.494067,7.323823,0.165119,31.324224,35.018360,3.939261,32.274745,36.071716,3.757249,3.503425,3.507736,0.004005,5.314644,5.336968,0.028153,90.226265,89.519554,0.649427,6.160718,6.225112,0.058784,-3.821978,-3.841892,0.018181,0.000000,0.000000,0.000000,563.315484,563.321899,0.006376,0.002155,0.002036,0.000207,NaN,NaN,NaN,1.352717,1.353823,0.001217
2,TESTANMA_2036.LAB,6/3/2020,12:39:12.400,735.633149,731.282898,27.841715,41.151836,41.961922,0.550991,42.161374,45.040512,2.063164,0.330827,0.406637,0.286889,0.169093,0.195918,0.091884,-1.853213,-2.243523,0.657128,-0.942144,-0.069075,0.566825,3.818063,3.677630,0.343712,1.512440,1.882869,0.469977,7.065584,7.128287,0.142555,7.478871,7.377739,0.162362,163.616464,165.580429,13.331015,0.016320,0.016624,0.000943,-0.880065,-0.342636,1.403485,19.278303,19.478474,0.887623,2.228187,2.474979,0.681037,2.661897,2.519251,0.189914,-0.794715,4.086325,3.314309,-0.217793,-0.548367,0.253000,1.351533,1.456376,0.660671,1.942231,3.206112,1.451643,-3.077215,-0.556187,1.730433,0.015463,0.018241,0.006540,1.079947,0.008689,0.715923,-0.252208,-0.114025,0.130203,0.649799,-0.051212,0.491755,190.740738,190.700043,0.055728,0.974699,0.966427,0.005613,41.151836,41.961922,0.550991,163.616464,165.580429,13.331015,2.661897,2.519251,0.189914,0.169093,0.195918,0.091884,778.727215,776.450928,28.234686,170.127263,171.951157,14.400117,7.775775,7.659145,0.148770,764.809984,759.117676,26.363005,42.784427,43.563622,0.569756,809.610997,806.005676,26.561787,33.487261,35.191628,2.710121,30.559174,32.420452,2.644178,30.994760,33.517189,2.875303,0.330827,0.406637,0.286889,7.478871,7.377739,0.162362,32.449549,33.811539,3.513529,32.885135,34.908272,3.637778,3.503347,3.506091,0.003712,5.329515,5.330065,0.023745,90.226265,89.730774,0.678473,6.160718,6.203647,0.058784,-3.821978,-3.835165,0.018057,0.000000,0.000000,0.000000,563.313796,563.318970,0.005949,0.002205,0.002135,0.000108,NaN,NaN,NaN,1.352957,1.353335,0.000865
3,TESTANMA_2037.LAB,6/3/2020,12:39:12.600,736.163405,737.824097,23.109978,41.599221,41.887703,0.574087,40.834872,43.927128,2.581799,0.351912,0.318722,0.190699,0.325490,0.198979,0.096768,0.025046,-1.817221,1.219244,-1.841215,-0.432077,0.970174,3.898076,3.667325,0.334159,1.977394,1.867768,0.464327,7.077309,7.144469,0.127654,7.506885,7.446661,0.113962,168.466324,163.387344,11.217004,0.016251,0.016397,0.000845,0.249364,-0.547489,1.162692,19.933876,19.645794,0.876585,2.307450,2.354187,0.636373,2.592996,2.485686,0.146388,-2.570103,2.379796,4.188234,-0.253936,-0.427306,0.207850,1.441485,1.566682,0.584058,1.758705,2.623203,1.291573,-3.510700,-1.139209,2.179771,0.005602,0.017221,0.008198,0.701084,0.163881,0.774950,0.021413,-0.068782,0.130077,1.276707,0.327978,0.649822,190.740738,190.720383,0.045502,0.976228,0.969319,0.006296,41.599221,41.887703,0.574087,168.466324,163.387344,11.217004,2.592996,2.485686,0.146388,0.325490,0.198979,0.096768,779.521331,782.334961,24.139181,175.299416,169.649078,12.179744,7.811376,7.730061,0.106788,766.023206,765.845642,21.717819,43.286514,43.481678,0.575352,811.139744,812.044800,22.572290,37.809563,35.074108,2.544017,34.957267,32.339855,2.536101,35.465139,33.194466,2.432007,0.351912,0.318722,0.190699,7.506885,7.446661,0.113962,37.348714,33.829342,3.535528,37.856586,34.683956,3.347039,3.502062,3.504293,0.002765,5.340503,5.327260,0.020776,90.226265,89.978516,0.553971,6.160718,6.182182,0.047997,-3.821978,-3.828571,0.014743,0.000000,0.000000,0.000000,563.315181,563.316284,0.002248,0.002121,0.002110,0.000090,NaN,NaN,NaN,1.350404,1.352561,0.001389
4,TESTANMA_2038.LAB,6/3/2020,12:39:12.800,740.430215,745.420288,12.279918,41.655244,41.709160,0.440754,45.369004,44.146721,2.663755,0.527832,0.303267,0.162772,0.285410,0.201570,0.099365,-0.293718,-1.573049,1.403353,-2.793337,-1.041925,1.323594,3.893775,3.653539,0.320051,2.047166,1.750452,0.244462,7.245915,7.186699,0.116750,7.430308,7.483930,0.032347,167.508016,161.129913,8.021591,0.015992,0.016030,0.000278,0.138698,-0.725051,0.900437,18.656874,19.706121,0.769387,2.601656,2.187714,0.306806,3.023488,2.613248,0.266263,-1.554371,0.572531,3.289370,0.140707,-0.308659,0.325739,2.125751,1.829527,0.436278,3.815663,3.075616,1.217288,-2.697698,-1.631796,2.202457,0.023586,0.018780,0.008590,0.839455,0.356093,0.805040,0.248662,0.003590,0.187276,-0.260416,0.331592,0.645643,190.740738,190.740738,0.000000,0.976228,0.972211,0.005183,41.655244,41.709160,0.440754,167.508016,161.129913,8.021591,3.023488,2.613248,0.266263,0.285410,0.201570,0.099365,785.901121,790.205017,13.723302,174.294641,167.273514,8.856166,7.731348,7.767760,0.029427,770.429000,773.645081,10.237217,43.342917,43.289551,0.347600,817.742189,820.122864,11.625790,39.234269,35.341648,2.952571,35.908432,32.467072,2.728621,35.627018,33.084389,2.270317,0.527832,0.303267,0.162772,7.430308,7.483930,0.032347,38.474385,33.955406,3.720847,38.192970,34.572723,3.183410,3.501488,3.502765,0.000928,5.343491,5.325536,0.018422,90.226265,90.226265,0.000000,6.160718,6.160718,0.000000,-3.821978,-3.821978,0.000000,0.000000,0.000000,0.000000,563.316040,563.315552,0.001247,0.002076,0.002132,0.000050,297.515533,NaN,NaN,1.349209,1.351552,0.001657
5,TESTANMA_2039.LAB,6/3/2020,12:39:13.000,741.899256,740.842957,5.827015,41.157667,41.464878,0.288962,43.597761,43.358292,1.874962,0.583107,0.401306,0.151643,0.209643,0.224431,0.080094,3.539947,-0.222077,2.355789,4.240429,-0.306420,2.721698,3.950993,3.810931,0.183529,1.719169,1.766344,0.237959,7.156298,7.149554,0.078137,7.455918,7.473209,0.030581,170.177190,165.273056,5.414208,0.016414,0.016190,0.000199,-1.592650,-0.683980,0.842053,21.194097,19.807846,0.944859,2.079247,2.245513,0.231086,2.004057,2.553335,0.367724,3.651361,0.208797,2.651037,-0.477533,-0.256763,0.252977,1.591040,1.673427,0.317260,0.456455,2.246729,1.325277,-0.716369,-2.133113,1.348566,0.000595,0.013357,0.009987,-0.295549,0.482086,0.569015,0.256613,0.037902,0.218967,-0.563334,0.263810,0.730785,190.740738,190.740738,0.000000,0.976228,0.974589,0.002887,41.157667,41.464878,0.288962,170.177190,165.273056,5.414208,2.004057,2.553335,0.367724,0.209643,0.224431,0.080094,783.513378,784.554626,6.588001,177.177492,171.840012,5.924598,7.762619,7.769307,0.028777,772.417427,770.173706,5.007772,42.850691,43.106926,0.266563,815.743310,815.613586,5.659779,33.091442,35.369095,2.925340,30.886980,32.560421,2.647876,31.842045,33.073948,2.277267,0.583107,0.401306,0.151643,7.455918,7.473209,0.030581,31.899824,34.299339,3.345160,32.854889,34.812866,2.944538,3.501527,3.502370,0.000955,5.324658,5.330562,0.011783,90.226265,90.226265,0.000000,6.160718,6.160718,0.000000,-3.821978,-3.821978,0.000000,0.000000,0.000000,0.000000,563.310158,563.314148,0.002363,0.001345,0.001980,0.000358,269.833419,NaN,NaN,1.345715,1.350200,0.002961
6,TESTANMA_2041.LAB,6/3/2020,12:39:13.200,738.991563,738.623535,2.698349,41.269965,41.366783,0.243177,45.352897,43.463184,1.988970,0.553740,0.469483,0.118810,0.169890,0.231905,0.070547,0.185116,0.320636,1.973116,0.677331,-0.131787,2.758333,3.880300,3.888242,0.047574,1.676796,1.786593,0.221396,7.161587,7.141339,0.073158,7.482669,7.470930,0.029022,168.305576,167.614716,2.437525,0.016241,0.016244,0.000157,-0.922007,-0.601332,0.780154,21.195046,20.051640,1.136868,2.448356,2.332979,0.200943,2.321386,2.520765,0.382297,3.393550,0.425145,2.898187,-0.869619,-0.335635,0.371732,0.889014,1.479765,0.446255,0.962431,1.787097,1.283612,-0.078015,-2.015999,1.522321,0.009915,0.011032,0.008901,0.102828,0.485553,0.566040,0.001983,0.055293,0.210040,0.098437,0.240239,0.734591,190.740738,190.740738,0.000000,0.976228,0.975922,0.000684,41.269965,41.366783,0.243177,168.305576,167.614716,2.437525,2.321386,2.520765,0.382297,0.169890,0.231905,0.070547,781.223960,781.777405,2.946120,175.101569,174.400070,2.611658,7.784724,7.773168,0.029413,768.826942,768.501343,3.119490,42.935942,43.040096,0.257153,812.763727,813.400024,3.324733,33.585389,35.441586,2.862681,31.031864,32.668743,2.551336,32.771102,33.340012,2.110351,0.553740,0.469483,0.118810,7.482669,7.470930,0.029022,32.564399,34.547375,3.106907,34.303638,35.218643,2.630361,3.501736,3.502032,0.000769,5.336245,5.334882,0.007761,90.226265,90.226265,0.000000,6.160718,6.160718,0.000000,-3.821978,-3.821978,0.000000,0.000000,0.000000,0.000000,563.313110,563.313660,0.002259,0.001693,0.001888,0.000362,305.162888,NaN,NaN,1.349070,1.349471,0.002616
7,TESTANMA_2042.LAB,6/3/2020,12:39:13.400,740.933389,739.683533,2.230430,41.872375,41.510895,0.292456,41.922091,43.415325,2.030567,0.517387,0.506795,0.090237,0.171147,0.232316,0.070095,0.449716,0.781221,1.565495,-6.571573,-1.257673,4.028327,3.863029,3.897234,0.033013,1.746856,1.833476,0.166953,7.181036,7.164429,0.060373,7.545499,7.484255,0.044662,168.181039,168.527618,0.991696,0.016187,0.016217,0.000152,0.539378,-0.317444,0.902098,17.343793,19.664738,1.670014,2.193863,2.326114,0.205942,2.900037,2.568393,0.417490,1.647768,0.913641,2.846557,0.384364,-0.215203,0.496168,0.002743,1.210007,0.805897,1.438278,1.686306,1.288162,-6.575716,-2.715700,2.573266,0.034551,0.014850,0.013942,0.507060,0.370975,0.464522,0.145465,0.134827,0.120844,1.293000,0.368879,0.868378,190.723079,190.737213,0.007895,0.976339,0.976250,0.000050,41.872375,41.510895,0.292456,168.181039,168.527618,0.991696,2.900037,2.568393,0.417490,0.171147,0.232316,0.070095,784.244041,782.880737,2.520530,174.939324,175.362488,1.082317,7.848723,7.787759,0.044994,770.706988,769.680725,2.408789,43.555017,43.194221,0.293905,815.758192,814.629395,2.639250,33.085037,35.361137,2.936042,29.894996,32.535908,2.701501,29.126269,32.966316,2.709774,0.517387,0.506795,0.090237,7.545499,7.484255,0.044662,32.593573,34.576180,3.083172,31.824846,35.006584,2.894950,3.501907,3.501744,0.000245,5.347420,5.338463,0.008735,90.226265,90.226265,0.000000,6.160718,6.160718,0.000000,-3.821978,-3.821978,0.000000,0.000000,0.000000,0.000000,563.315971,563.314087,0.002491,0.001936,0.001834,0.000320,340.512073,NaN,NaN,1.352229,1.349325,0.002383
8,TESTANMA_2043.LAB,6/3/2020,12:39:13.600,735.752466,739.601379,2.394140,41.267296,41.444511,0.304805,41.628387,43.574028,1.795918,0.355543,0.507522,0.088680,0.020249,0.171268,0.096579,0.562825,0.888777,1.518317,-4.152077,-1.719845,4.239066,3.800249,3.877669,0.054431,1.730803,1.784158,0.149300,7.181459,7.185259,0.035744,7.405459,7.463970,0.053894,166.379182,168.110199,1.385160,0.015978,0.016162,0.000183,1.558987,-0.055519,1.236105,22.191402,20.116241,2.027813,2.413567,2.347338,0.208983,1.982556,2.446305,0.491239,1.428441,1.713350,2.082212,0.368356,-0.090745,0.558194,-0.228474,0.876015,1.006947,0.933786,1.521322,1.328759,-2.159397,-2.445439,2.539637,0.026971,0.019124,0.013671,-0.706496,0.089460,0.616206,0.077571,0.146059,0.109770,-0.155554,0.082427,0.717099,190.638992,190.716858,0.044194,0.976870,0.976378,0.000279,41.267296,41.444511,0.304805,166.379182,168.110199,1.385160,1.982556,2.446305,0.491239,0.020249,0.171268,0.096579,777.953548,782.567200,3.078640,172.951732,174.892960,1.532243,7.698004,7.765083,0.057064,764.817243,769.439575,2.880708,42.897434,43.116402,0.314168,808.685484,814.138550,3.528831,41.356470,36.070518,3.934287,39.175658,33.379585,3.995522,38.438946,33.561077,3.581493,0.355543,0.507522,0.088680,7.405459,7.463970,0.053894,40.844130,35.275261,4.098186,40.107418,35.456753,3.549848,3.501999,3.501731,0.000225,5.345102,5.339383,0.009231,90.226265,90.226265,0.000000,6.160718,6.160718,0.000000,-3.821978,-3.821978,0.000000,0.000000,0.000000,0.000000,563.315354,563.314148,0.002512,0.001640,0.001738,0.000283,331.552251,308.915222,28.205574,1.351900,1.349625,0.002633
9,TESTANMA_2044.LAB,6/3/2020,12:39:13.800,733.217224,738.158813,3.626036,40.890219,41.291504,0.359654,41.026108,42.705452,1.760618,0.596089,0.521173,0.097412,0.163675,0.146921,0.073101,1.766001,1.300721,1.391392,-5.431650,-2.247508,4.558280,3.884628,3.875840,0.053905,1.658968,1.706518,0.037153,7.112424,7.158561,0.028162,7.437196,7.465348,0.052897,166.023381,167.813263,1.675264,0.015585,0.016081,0.000318,0.082852,-0.066688,1.234162,22.324795,20.849829,2.031337,1.981511,2.223309,0.204286,2.514280,2.344463,0.382389,5.023688,3.028962,1.497381,-0.861519,-0.291190,0.629673,0.286746,0.508214,0.735660,2.911943,1.340578,0.944574,-0.837354,-2.073370,2.628172,0.011918,0.016790,0.013715,0.037797,-0.070872,0.455654,-0.048521,0.086622,0.120280,-0.426489,0.049212,0.740416,190.638992,190.696503,0.052997,0.976870,0.976507,0.000335,40.890219,41.291504,0.359654,166.023381,167.813263,1.675264,2.514280,2.344463,0.382389,0.163675,0.146921,0.073101,777.019386,780.790894,3.232571,172.733424,174.580719,1.817221,7.737775,7.766369,0.056179,762.851322,767.923950,4.004217,42.542841,42.956383,0.368932,808.423551,812.274841,3.609671,35.870334,35.397736,3.524273,33.104626,32.818825,3.740489,34.827665,33.401207,3.482697,0.596089,0.521173,0.097412,7.437196,7.465348,0.052897,34.848751,34.550137,3.691171,36.571790,35.132515,3.302895,3.503449,3.502124,0.000763,5.351284,5.340941,0.010647,90.226265,90.226265,0.000000,6.160718,6.160718,0.000000,-3.821978,-3.821978,0.000000,0.000000,0.000000,0.000000,563.316895,563.314331,0.002696,0.003057,0.001934,0.000662,295.395203,308.491150,28.434824,1.356599,1.351103,0.004040
