Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
TESTANMA_2997.LAB,6/3/2020,46:07.0,269.936373,297.72641,15.535104,17.644312,14.187512,1.93241,16.983333,15.455725,0.853958,0.501557,0.50577,0.002355,0.147145,0.147452,0.000171,-2.155264,-0.560654,0.891414,-1.443753,-0.861016,0.32576,2.677798,3.186831,0.284558,3.566953,3.827088,0.14542,5.545204,6.155765,0.341314,5.497284,6.401029,0.505209,160.091153,180.436676,11.373491,0.017026,0.01793,0.000506,1.014098,2.410588,0.780662,10.506767,8.810822,0.948062,3.08646,2.555231,0.296966,2.869883,2.469056,0.224069,5.443821,3.326966,1.183358,-0.830786,-1.327086,0.27744,1.01264,1.694373,0.3811,-1.842337,1.505117,1.871284,6.422249,-4.631498,6.179233,0.044164,0.030259,0.007773,0.697406,0.20541,0.275034,0.06538,0.137335,0.040224,-3.047563,-0.551067,1.395584,190.638992,190.638992,0,0.979762,0.966653,0.007329,17.644312,14.187512,1.93241,160.091153,180.436676,11.373491,2.869883,2.469056,0.224069,0.147145,0.147452,0.000171,285.738348,313.419037,15.473989,164.496024,186.404968,12.247475,5.648876,6.613069,0.539,277.363609,307.566467,16.883909,18.129791,14.649954,1.945288,293.600372,323.775635,16.868488,26.864226,27.748007,0.49405,23.707354,25.032045,0.740525,25.368926,27.686218,1.295406,0.501557,0.50577,0.002355,5.49761,6.401094,0.505063,28.092797,29.141241,0.586098,29.754369,31.795414,1.140979,3.649626,3.642494,0.003987,5.728884,5.763419,0.019306,88.548004,89.15538,0.339532,6.188415,6.229959,0.023224,-3.925275,-3.938461,0.007372,0,0,0,563.498352,563.513733,0.008598,0.001855,0.002809,0.000533,NaN,NaN,NaN,1.362963,1.362699,0.000148
TESTANMA_2997.LAB,6/3/2020,46:07.2,267.029667,290.197571,19.849195,17.313957,14.985641,2.279233,19.123963,16.265753,1.799053,0.581943,0.520794,0.034259,-0.012322,0.115482,0.071445,-0.846675,-0.697589,0.867122,-0.910203,-0.89999,0.315467,2.92812,3.109637,0.293614,3.804054,3.809474,0.140835,5.547065,6.003497,0.417513,5.532403,6.182117,0.609261,170.66399,177.464859,11.650119,0.017251,0.017749,0.000563,-0.180948,1.822457,1.351149,10.716679,9.27679,1.220879,3.284195,2.727585,0.423668,3.156946,2.626675,0.367342,6.521833,4.071782,1.785686,-0.768601,-1.190574,0.3575,0.433,1.408012,0.658207,-0.421098,0.952501,1.967857,4.989742,-2.154562,7.193526,0.035379,0.031978,0.007763,0.322809,0.25349,0.269105,-0.040778,0.098115,0.086864,-2.617431,-1.089164,1.598687,190.638992,190.638992,0,0.979762,0.96993,0.008976,17.313957,14.985641,2.279233,170.66399,177.464859,11.650119,3.156946,2.626675,0.367342,-0.012322,0.115482,0.071445,283.922526,306.135712,19.459566,175.854546,183.199432,12.549268,5.69962,6.382169,0.64649,275.075898,299.558228,21.320349,17.835119,15.460979,2.304139,292.482706,316.00827,20.969406,23.166422,26.787502,2.08,19.693782,23.898157,2.457254,21.230985,26.279306,3.088273,0.581943,0.520794,0.034259,5.532543,6.182209,0.609131,23.907944,28.04216,2.37975,25.445147,30.423309,2.99414,3.649167,3.644186,0.00476,5.736249,5.756258,0.021783,88.548004,89.003532,0.41584,6.188415,6.219573,0.028444,-3.925275,-3.935165,0.009028,0,0,0,563.499074,563.51001,0.010333,0.001807,0.00256,0.000666,NaN,NaN,NaN,1.363941,1.362961,0.000567
TESTANMA_2997.LAB,6/3/2020,46:07.4,264.149549,282.092682,20.71504,16.986624,15.718303,2.198649,21.245013,17.49999,2.678711,0.661593,0.551748,0.06988,-0.17033,0.05191,0.14219,0.449945,-0.575199,0.995325,-0.381533,-0.833231,0.39067,3.176154,3.08205,0.275524,4.038986,3.838847,0.173831,5.548909,5.851598,0.417008,5.567201,5.970164,0.600085,181.140116,176.588287,11.041197,0.017474,0.017613,0.000521,-1.365064,0.997502,1.815316,10.924671,9.784357,1.284285,3.480121,2.939125,0.491787,3.441382,2.841182,0.476174,7.589985,5.030229,2.174638,-0.706986,-1.041739,0.376304,-0.141338,1.006783,0.883155,0.987141,0.681533,1.816128,3.570337,0.038492,6.860263,0.026674,0.031957,0.007781,-0.04836,0.227335,0.294998,-0.145966,0.037857,0.130699,-2.191234,-1.542023,1.505124,190.638992,190.638992,0,0.979762,0.973207,0.008976,16.986624,15.718303,2.198649,181.140116,176.588287,11.041197,3.441382,2.841182,0.476174,-0.17033,0.05191,0.14219,282.123314,298.492523,19.984135,187.10917,182.244843,11.887764,5.7499,6.161326,0.633436,272.809113,291.096619,21.986742,17.543142,16.21361,2.231237,291.375264,308.01944,21.284441,19.502443,25.094198,3.696129,15.716923,21.968899,4.193101,17.130894,24.052378,4.824469,0.661593,0.551748,0.06988,5.567157,5.970248,0.600002,19.761371,26.113764,4.20648,21.175342,28.197241,4.82349,3.648712,3.645786,0.004643,5.743547,5.750557,0.020296,88.548004,88.851692,0.41584,6.188415,6.209188,0.028444,-3.925275,-3.931868,0.009028,0,0,0,563.499788,563.50647,0.010143,0.001758,0.002303,0.00068,NaN,NaN,NaN,1.364911,1.363416,0.000993
TESTANMA_2998.LAB,6/3/2020,46:07.6,262.523342,273.662567,17.565334,17.367696,16.52718,1.806193,20.361066,18.55744,2.520439,0.799267,0.610237,0.124173,-0.166351,-0.010866,0.157847,-2.399618,-1.022723,1.236838,1.573712,-0.375422,1.15564,3.293247,3.077882,0.271261,3.265917,3.713606,0.303254,5.490584,5.688033,0.347662,5.514719,5.747715,0.492197,185.64282,176.612228,11.065529,0.018131,0.017608,0.000514,-1.574138,0.130732,1.798124,10.971232,10.301237,1.085971,3.998778,3.254396,0.575831,3.782758,3.123963,0.540973,5.768498,5.624378,1.78271,-0.833172,-0.918141,0.302452,0.627058,0.759233,0.745223,0.235049,0.260147,1.561066,-1.001078,1.317263,5.61029,0.017551,0.03011,0.010073,-0.072197,0.196414,0.320949,-0.005192,0.005754,0.113171,-0.769012,-1.710437,1.314234,190.682741,190.647736,0.019564,0.978795,0.976291,0.007233,17.367696,16.52718,1.806193,185.64282,176.612228,11.065529,3.782758,3.123963,0.540973,-0.166351,-0.010866,0.157847,280.126086,290.44989,16.838131,191.964684,182.261322,11.904528,5.702382,5.930979,0.517286,271.463293,282.365814,18.445955,17.959144,17.049438,1.840179,289.665464,299.688629,17.741739,21.922178,23.884846,3.50465,17.761145,20.448484,4.029699,19.427488,22.284769,4.503293,0.799267,0.610237,0.124173,5.51459,5.747773,0.492158,20.862607,24.405615,4.270313,22.52895,26.241894,4.722225,3.648677,3.647378,0.003747,5.744121,5.744971,0.016363,88.548004,88.699844,0.339532,6.188415,6.198802,0.023224,-3.925275,-3.928571,0.007372,0,0,0,563.49986,563.50293,0.008205,0.002041,0.002102,0.000539,307.581069,NaN,NaN,1.366192,1.364128,0.001458
TESTANMA_2999.LAB,6/3/2020,46:07.8,262.079819,265.143738,3.307886,17.903112,17.443142,0.347431,17.72108,19.086889,1.772906,0.908948,0.690661,0.164217,-0.025306,-0.045433,0.131157,-5.766943,-2.143711,2.32394,3.893519,0.546348,2.191006,3.304594,3.075983,0.269219,2.353816,3.405945,0.654167,5.407461,5.507844,0.061227,5.446934,5.511708,0.044499,185.331998,176.57402,11.027329,0.018643,0.017705,0.000668,-0.905201,-0.602251,1.049798,10.965423,10.816955,0.202311,4.376722,3.645255,0.531486,4.014519,3.453098,0.461479,3.039549,5.672738,1.687606,-0.717148,-0.771338,0.060089,1.85454,0.75718,0.74142,-1.145992,-0.437448,1.113297,-5.853804,1.625489,5.023649,0.013696,0.027493,0.01255,0.276889,0.235309,0.315415,0.190209,0.012731,0.125139,0.79576,-1.565896,1.573575,190.740738,190.668091,0.044812,0.977513,0.979119,0.000991,17.903112,17.443142,0.347431,185.331998,176.57402,11.027329,4.014519,3.453098,0.461479,-0.025306,-0.045433,0.131157,278.836939,282.149445,2.787976,191.665882,182.218063,11.861135,5.632846,5.686725,0.046739,271.036453,273.549683,2.650149,18.514872,17.996414,0.360364,288.366408,291.098053,2.107721,27.97184,23.885422,3.505491,23.55587,20.087015,3.52852,24.990166,21.629692,3.553959,0.908948,0.690661,0.164217,5.446692,5.511718,0.044561,25.936859,23.712317,3.460719,27.371155,25.254993,3.49405,3.648818,3.649,0.0004,5.737832,5.738126,0.006212,88.548004,88.548004,0,6.188415,6.188415,0,-3.925275,-3.925275,0,0,0,0,563.497593,563.498901,0.000971,0.002419,0.001976,0.00027,330.512175,NaN,NaN,1.367941,1.365189,0.001947
TESTANMA_2999.LAB,6/3/2020,46:08.0,261.841589,263.52478,2.156294,17.315251,17.377329,0.330553,17.18972,19.12817,1.713079,0.828617,0.756073,0.132048,0.104346,-0.053993,0.115963,-1.629929,-2.038644,2.335136,4.080915,1.651282,2.325419,3.337329,3.207889,0.167832,3.234401,3.339434,0.650601,5.391556,5.477115,0.074835,5.526498,5.51755,0.044047,186.022322,181.760254,6.509775,0.017892,0.017878,0.000549,-0.177069,-0.840484,0.650524,11.174106,10.950422,0.162782,3.733963,3.774756,0.430602,3.861698,3.651461,0.347105,4.222325,5.428438,1.812798,0.379518,-0.529278,0.510493,1.354588,0.82557,0.785345,0.516764,0.034373,0.833885,-4.730722,-0.605105,4.833813,0.023433,0.023347,0.008405,0.792145,0.254257,0.350957,-0.001893,-0.000724,0.121631,0.601607,-0.836062,1.560769,190.740738,190.688431,0.050973,0.977513,0.978669,0.001127,17.315251,17.377329,0.330553,186.022322,181.760254,6.509775,3.861698,3.651461,0.347105,0.104346,-0.053993,0.115963,279.673605,280.936493,2.060619,192.444977,187.807861,7.018477,5.716666,5.700283,0.04267,270.88178,272.253326,1.750847,17.912963,17.953049,0.353277,289.329652,290.243896,1.657384,29.932841,24.499144,4.32922,25.684973,20.48254,4.100302,24.925937,21.541096,3.441171,0.828617,0.756073,0.132048,5.525868,5.51737,0.044114,29.514626,23.996681,3.936374,28.75559,25.055239,3.187626,3.648498,3.648774,0.000248,5.729189,5.738188,0.006099,88.548004,88.548004,0,6.188415,6.188415,0,-3.925275,-3.925275,0,0,0,0,563.491045,563.497437,0.003723,0.002328,0.002071,0.000298,319.043339,NaN,NaN,1.370163,1.366629,0.002479
TESTANMA_3000.LAB,6/3/2020,46:08.2,261.745485,262.467957,0.98688,17.078101,17.330156,0.357581,16.975364,18.698448,1.965313,0.796211,0.798927,0.089239,0.156649,-0.020198,0.150593,0.038988,-1.861511,2.477414,4.156513,2.664625,2.013142,3.350535,3.292372,0.069031,3.589638,3.296552,0.618599,5.38514,5.44473,0.071978,5.558595,5.522789,0.047664,186.300806,184.887619,2.126982,0.017589,0.017946,0.000467,0.116667,-0.780961,0.734194,11.258291,11.058744,0.147877,3.474667,3.81285,0.382041,3.800049,3.780081,0.210205,4.699469,5.063965,1.718765,0.821925,-0.211172,0.7591,1.152902,0.96955,0.760994,1.187538,0.3561,0.920088,-4.277659,-2.458585,3.823329,0.027361,0.021743,0.005939,1.000004,0.389696,0.487956,-0.079389,-0.008446,0.125958,0.523283,-0.207919,1.269422,190.740738,190.708771,0.046401,0.977513,0.978219,0.001026,17.078101,17.330156,0.357581,186.300806,184.887619,2.126982,3.800049,3.780081,0.210205,0.156649,-0.020198,0.150593,280.011124,280.154205,1.210869,192.759273,191.188797,2.319338,5.75048,5.710454,0.048179,270.819383,271.402008,0.825741,17.670146,17.920053,0.374133,289.718236,289.69101,1.086661,30.72393,26.010645,5.012914,26.543876,21.852558,4.847237,24.900027,22.274902,3.736995,0.796211,0.798927,0.089239,5.557808,5.522423,0.047596,30.957936,25.406681,5.012256,29.314086,25.829025,3.729473,3.648369,3.648615,0.000179,5.725702,5.736078,0.008347,88.548004,88.548004,0,6.188415,6.188415,0,-3.925275,-3.925275,0,0,0,0,563.488403,563.4953,0.005305,0.002291,0.002167,0.000268,314.416687,NaN,NaN,1.371059,1.368053,0.00259
TESTANMA_3000.LAB,6/3/2020,46:08.4,261.745485,261.987122,0.329428,17.078101,17.348452,0.337379,16.975364,17.844519,1.439433,0.796211,0.825851,0.048416,0.156649,0.045198,0.139701,0.038988,-1.943703,2.386714,4.156513,3.572234,1.122368,3.350535,3.327248,0.026718,3.589638,3.206682,0.506204,5.38514,5.411976,0.04488,5.558595,5.521068,0.045777,186.300806,185.919754,0.425169,0.017589,0.017969,0.00044,0.116667,-0.484615,0.738515,11.258291,11.12547,0.147524,3.474667,3.811759,0.383234,3.800049,3.851815,0.095784,4.699469,4.485862,0.987128,0.821925,0.09461,0.815303,1.152902,1.228398,0.441867,1.187538,0.396179,0.958031,-4.277659,-4.028184,1.810683,0.027361,0.02188,0.006087,1.000004,0.599369,0.477801,-0.079389,0.004869,0.110336,0.523283,0.334984,0.627121,190.740738,190.729126,0.025938,0.977513,0.977769,0.000573,17.078101,17.348452,0.337379,186.300806,185.919754,0.425169,3.800049,3.851815,0.095784,0.156649,0.045198,0.139701,280.011124,279.73175,0.52813,192.759273,192.318817,0.48879,5.75048,5.710571,0.048298,270.819383,271.004059,0.271613,17.670146,17.945454,0.345351,289.718236,289.359589,0.57839,30.72393,28.254944,3.714539,26.543876,24.017948,3.704751,24.900027,23.82873,2.460644,0.796211,0.825851,0.048416,5.557808,5.520553,0.045539,30.957936,27.64599,4.311763,29.314086,27.456776,2.86692,3.648369,3.648546,0.000197,5.725702,5.732509,0.008168,88.548004,88.548004,0,6.188415,6.188415,0,-3.925275,-3.925275,0,0,0,0,563.488403,563.493042,0.005357,0.002291,0.002274,0.00014,314.416687,317.194,8.49455,1.371059,1.369283,0.002147
TESTANMA_3000.LAB,6/3/2020,46:08.6,261.745485,261.831573,0.144886,17.078101,17.290533,0.357507,16.975364,17.167377,0.323146,0.796211,0.825239,0.048853,0.156649,0.109798,0.078848,0.038988,-1.455982,2.515922,4.156513,4.088795,0.113965,3.350535,3.338706,0.019908,3.589638,3.271426,0.535527,5.38514,5.390887,0.009672,5.558595,5.529843,0.048387,186.300806,186.051346,0.419821,0.017589,0.01786,0.000457,0.116667,-0.146454,0.442813,11.258291,11.182881,0.126911,3.474667,3.706937,0.390894,3.800049,3.855273,0.092938,4.699469,4.272056,0.719304,0.821925,0.425629,0.666936,1.152902,1.333567,0.304045,1.187538,0.586677,1.011204,-4.277659,-4.6835,0.683001,0.027361,0.023842,0.005922,1.000004,0.813809,0.313352,-0.079389,-0.00997,0.116826,0.523283,0.593443,0.118074,190.740738,190.740738,0,0.977513,0.977513,0,17.078101,17.290533,0.357507,186.300806,186.051346,0.419821,3.800049,3.855273,0.092938,0.156649,0.109798,0.078848,280.011124,279.708801,0.508821,192.759273,192.477737,0.47381,5.75048,5.720191,0.050975,270.819383,270.875305,0.094065,17.670146,17.887653,0.366051,289.718236,289.370178,0.5858,30.72393,30.015295,1.192581,26.543876,25.774494,1.294812,24.900027,24.923237,0.039061,0.796211,0.825239,0.048853,5.557808,5.529197,0.048151,30.957936,29.665058,2.175815,29.314086,28.813801,0.841943,3.648369,3.648485,0.000195,5.725702,5.728826,0.005256,88.548004,88.548004,0,6.188415,6.188415,0,-3.925275,-3.925275,0,0,0,0,563.488403,563.490723,0.003994,0.002291,0.002324,0.000055,314.416687,318.561127,6.974762,1.371059,1.370256,0.001351
TESTANMA_3000.LAB,6/3/2020,46:08.8,261.745485,261.764709,0.042977,17.078101,17.125532,0.106056,16.975364,17.018236,0.095863,0.796211,0.802692,0.014492,0.156649,0.146189,0.023391,0.038988,-0.294796,0.746362,4.156513,4.141393,0.033808,3.350535,3.347894,0.005906,3.589638,3.51859,0.158867,5.38514,5.386423,0.002869,5.558595,5.552175,0.014354,186.300806,186.245087,0.124544,0.017589,0.01765,0.000136,0.116667,0.05792,0.131363,11.258291,11.241455,0.037649,3.474667,3.526526,0.115961,3.800049,3.812379,0.02757,4.699469,4.60404,0.213386,0.821925,0.733443,0.19785,1.152902,1.193239,0.090197,1.187538,1.053383,0.299979,-4.277659,-4.368271,0.202616,0.027361,0.026575,0.001757,1.000004,0.958433,0.092958,-0.079389,-0.06389,0.034657,0.523283,0.538948,0.035027,190.740738,190.740738,0,0.977513,0.977513,0,17.078101,17.125532,0.106056,186.300806,186.245087,0.124544,3.800049,3.812379,0.02757,0.156649,0.146189,0.023391,280.011124,279.943634,0.150945,192.759273,192.696411,0.140559,5.75048,5.743717,0.015122,270.819383,270.831879,0.027896,17.670146,17.718708,0.108591,289.718236,289.640533,0.173778,30.72393,30.56571,0.353786,26.543876,26.372095,0.384113,24.900027,24.905209,0.011588,0.796211,0.802692,0.014492,5.557808,5.55142,0.014284,30.957936,30.669271,0.645468,29.314086,29.202387,0.249767,3.648369,3.648395,0.000058,5.725702,5.726399,0.001559,88.548004,88.548004,0,6.188415,6.188415,0,-3.925275,-3.925275,0,0,0,0,563.488403,563.488953,0.001174,0.002291,0.002299,0.000016,314.416687,315.342041,2.0691,1.371059,1.37088,0.000401
